institution_id,project_id_number
13216,397660743
13216,132607997
13216,5128684
13216,58733861
13216,5256640
13216,5439275
13216,5295426
13216,5336944
13216,5443733
13216,21664795
13216,310530378
13216,280194106
13216,188139206
13216,187927094
13216,30675345
13216,248067007
13216,248339659
13216,192868496
13216,203244998
13216,203096210
13216,5300858
13216,5446464
13216,5399728
13216,213691413
13216,350440084
316505146,362536103
20727390,313940587
280021019,352112919
30306564,270147511
30306564,270108339
30306564,269965048
30306564,251655761
30306564,252093367
30306564,234056486
30306564,234142899
12959,5134536
12959,35716548
12959,195863318
20753124,5188670
232635453,232633026
20706866,270091
272598630,272598126
10660,259262848
10660,349906175
10660,17588024
10660,5422203
10660,5143376
10660,42472124
10660,68523460
10660,234518095
10660,5120084
10660,5347439
10660,79951137
30392,5249208
273633723,390850382
10379,53408677
392436902,392476493
249938664,251684848
215865748,64632707
21092428,317162715
21092428,5434668
313778456,313777677
20782488,391998588
20782488,391625006
20782488,391956384
20782488,392206641
20782488,392215324
20782488,392021023
20782488,392343277
20782488,392476493
20782488,391643887
20782488,391953713
20782488,391665448
20782488,392048923
20782488,391680706
20782488,391681070
20782488,391673110
20782488,391657309
20782488,392398741
20782488,392227523
20782488,392171665
20782488,391973822
20782488,392273792
20782488,322995402
20782488,392322200
20782488,322755296
20782488,391559761
20782488,391592464
20782488,392194080
20782488,392435074
20782488,391957130
20782488,391584407
20782488,392103545
20782488,392255916
20782488,392267849
20782488,392039634
20782488,391523883
20782488,391593922
20782488,392009685
20782488,390253464
20782488,392050753
20782488,392047120
20782488,391697993
20782488,392192146
20782488,392224788
20782488,392442956
20782488,392425453
20782488,391749090
20782488,391925834
20782488,392020380
20782488,391998472
20782488,322911753
20782488,322714635
20782488,392069063
20782488,391970496
20782488,392070342
20782488,391979941
20782488,391629164
20782488,392236626
20782488,392108477
20782488,391416132
20782488,392204060
20782488,323224195
20782488,391901927
20782488,392016367
20782488,392417756
20782488,392218733
20782488,392444663
20782488,322912360
20782488,323084725
20782488,391920327
20782488,392024936
20782488,391765816
20782488,391994084
20782488,392037132
20782488,389553136
20782488,392429716
20782488,392178740
20782488,392164975
20782488,318749971
20782488,322830686
20782488,392430670
20782488,392023639
20782488,392169209
20782488,392211132
20782488,392137236
20782488,392046569
20782488,392226212
20782488,392018064
20782488,392208985
20782488,392230176
20782488,392103996
20782488,323085738
20782488,392113882
20782488,391587080
20782488,392199472
20782488,392123414
20782488,392073416
20782488,392320482
20782488,390469254
20782488,392026765
20782488,392004639
20782488,392037563
20782488,392011053
20782488,321623572
20782488,390252575
20782488,392214008
20782488,391970891
20782488,392026931
20782488,392102174
20782488,391520971
20782488,392015269
20782488,391996624
20782488,392072074
20782488,391703796
20782488,392201417
20782488,392201168
20782488,391986140
20782488,392447067
20782488,392004833
20782488,392327370
20782488,391693476
20782488,392306670
20782488,391522767
20782488,392149212
20782488,391588914
20782488,391472300
20782488,391520072
20782488,391978046
20782488,391987721
20782488,392228380
20782488,391979809
20782488,391878289
20782488,392087235
20782488,391742280
20782488,391415715
20782488,390461079
20782488,391644373
20782488,392167322
20782488,323078467
20782488,391580220
20782488,392037398
20782488,391652390
20782488,262484577
20782488,196253076
20782488,49579428
29712494,29304606
29712494,319145390
29712494,329439128
20271364,270195408
20271364,5202588
270809092,179223461
10487,5375601
10487,386773508
10487,332784868
10487,185413613
10487,5302938
10487,196385171
10487,32767126
10487,5446483
10487,207760499
10487,5429729
10487,61375937
10487,5433525
10487,336696411
10487,31293849
10487,58754155
10487,203563459
10487,232926729
10487,65943088
10487,311106569
10487,5438545
10487,31294146
10487,5137162
10487,5137138
10487,5448183
10487,162761115
10487,53346764
10487,165972532
20762822,5193288
71924271,236615066
71924271,194375904
387571240,387213559
152147264,5326690
152147264,167121044
152147264,193394489
152147264,5270980
152147264,5433545
152147264,23282623
152147264,310533960
152147264,269749094
152147264,233179922
152147264,247813351
152147264,200983110
152147264,5446420
152147264,5373783
152147264,88327766
152147264,157541525
152147264,241258140
152147264,274974136
152147264,170387504
152147264,5410028
152147264,5409953
152147264,192114092
152147264,211425192
152147264,5251638
152147264,239934074
152147264,388046829
152147264,239907176
152147264,15560003
152147264,5445130
152147264,142563101
152147264,39010820
152147264,194445620
152147264,273289
152147264,324669110
10616,272641
26047234,28054419
26047234,245049454
49619056,194651731
24285335,290727620
24285335,200049484
278026530,277982814
20726462,5389843
87713647,381589440
62686832,387798678
38969966,391059617
208171996,196342259
208171996,5270092
208171996,204590738
208171996,5273920
208171996,204590848
208171996,5094836
208171996,251585374
208171996,69465381
208171996,259257588
208171996,216618242
208171996,236175933
208171996,329460548
208171996,291198853
208171996,326998133
208171996,397979867
208171996,148646377
208171996,273033
146679410,5171800
146679410,5177292
146679410,272835
277155906,281246369
286075634,283700004
20758370,5177202
20758370,401706221
20756658,5236626
20756658,5269758
20756658,275826910
393876665,393875851
15087,5396502
15087,29733100
15087,5436525
15087,5269496
15087,51749171
15087,14638429
15087,5224898
15087,5440149
15087,5377457
15087,5390184
15087,5308732
15087,5300838
15087,263283606
15087,272675
18815,290587264
18815,396415377
18815,312925791
