name,address,phone,fax,email,internet
"University of Cape Town, Südafrika","University of Cape Town, Südafrika",null,null,null,null
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Potsdam","Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Potsdam",null,null,null,null
"University of Lincoln, UK","University of Lincoln, UK",null,null,null,null
"Royal Belgian Institute of Natural Sciences, Belgien","Royal Belgian Institute of Natural Sciences, Belgien",null,null,null,null
"Al Neelain University, Sudan","Al Neelain University, Sudan",null,null,null,null
"University of Khartoum, Sudan","University of Khartoum, Sudan",null,null,null,null
"Leibniz-Institut für Angewandte Geophysik, Hannover","Leibniz-Institut für Angewandte Geophysik, Hannover",null,null,null,null
"Western University of Health Sciences, USA","Western University of Health Sciences, USA",null,null,null,null
"International University Of Africa, Sudan","International University Of Africa, Sudan",null,null,null,null
Staatliche Museen zu Berlin,Staatliche Museen zu Berlin,null,null,null,null
"Hebrew University of Jerusalem, Israel","Hebrew University of Jerusalem, Israel",null,null,null,null
"Mansoura University, Ägypten","Mansoura University, Ägypten",null,null,null,null
Potsdam-Institut für Klimafolgenforschung,Potsdam-Institut für Klimafolgenforschung,null,null,null,null
"Universidade Estadual do Ceará, Fortaleza, Brasilien","Universidade Estadual do Ceará, Fortaleza, Brasilien",null,null,null,null
Universität  Potsdam,Universität  Potsdam,null,null,null,null
"Max-Delbrück-Centrum für Molekulare Medizin, Berlin","Max-Delbrück-Centrum für Molekulare Medizin, Berlin",null,null,null,null
"Gustav-Falke-Schule, Berlin","Gustav-Falke-Schule, Berlin",null,null,null,null
"Zoologisches Forschungsmuseum Alexander Koenig, Bonn","Zoologisches Forschungsmuseum Alexander Koenig, Bonn",null,null,null,null
"European Synchrotron Radiation Facility, Grenoble","European Synchrotron Radiation Facility, Grenoble",null,null,null,null
"University of Toronto, Kanada","University of Toronto, Kanada",null,null,null,null
"Quartiersmanagement Brunnenviertel-Ackerstraße, Berlin","Quartiersmanagement Brunnenviertel-Ackerstraße, Berlin",null,null,null,null
Kulturstiftung des Bundes,Kulturstiftung des Bundes,null,null,null,null
Museum Mensch und Natur München,Museum Mensch und Natur München,null,null,null,null
"Universität Innsbruck, Österreich","Universität Innsbruck, Österreich",null,null,null,null
"Universidade Federal do Piauí, Brasilien","Universidade Federal do Piauí, Brasilien",null,null,null,null
Universität Göttingen,Universität Göttingen,null,null,null,null
Hochschule für Technik und Wirtschaft Berlin,Hochschule für Technik und Wirtschaft Berlin,null,null,null,null
Norwegian Biodiversity Information Centre,Norwegian Biodiversity Information Centre,null,null,null,null
Universität Münster,Universität Münster,null,null,null,null
"Musée royal de l'Afrique centrale, Belgique","Musée royal de l'Afrique centrale, Belgique",null,null,null,null
"Global Biodiversity Information Facility, Dänemark","Global Biodiversity Information Facility, Dänemark",null,null,null,null
"University of Leeds, UK","University of Leeds, UK",null,null,null,null
"Centre National de la Recherche Scientifique, Frankreich","Centre National de la Recherche Scientifique, Frankreich",null,null,null,null
"Itä-Suomen yliopisto, Finnland","Itä-Suomen yliopisto, Finnland",null,null,null,null
"Hellenic Centre for Marine Research, Griechenland","Hellenic Centre for Marine Research, Griechenland",null,null,null,null
"Kobenhavns Universitet, Dänemark","Kobenhavns Universitet, Dänemark",null,null,null,null
"Centre de Ciència i Tecnologia Forestal de Catalunya, Spanien","Centre de Ciència i Tecnologia Forestal de Catalunya, Spanien",null,null,null,null
"Fondazione Edmund Mach, Italien","Fondazione Edmund Mach, Italien",null,null,null,null
"Accademia Europea di Bolzano, Italien","Accademia Europea di Bolzano, Italien",null,null,null,null
"Universidad de Granada, Spanien","Universidad de Granada, Spanien",null,null,null,null
"Plazi GMBH, Schweiz","Plazi GMBH, Schweiz",null,null,null,null
Institut Royal des Sciences Naturelles de Belgique,Institut Royal des Sciences Naturelles de Belgique,null,null,null,null
