institution_id,name
10504,Max-Planck-Arbeitsgruppen für strukturelle Molekularbiologie Hamburg
10505,Weierstraß-Institut für Angewandte Analysis und Stochastik (WIAS)
10506,Leibniz-Institut für Gewässerökologie und Binnenfischerei (IGB) im Forschungsverband Berlin e.V.
10507,Paul-Drude-Institut für Festkörperelektronik (PDI)
10508,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie (MBI)
10509,Ferdinand-Braun-Institut für Höchstfrequenztechnik (FBH)
10510,Leibniz-Institut für Kristallzüchtung (IKZ)
10511,Leibniz-Institut für Zoo- und Wildtierforschung (IZW)
10512,Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK)
10528,Leibniz-Institut für Katalyse e. V. an der Universität Rostock (LIKAT)
10514,Europa-Universität Viadrina Frankfurt (Oder)
10266,Heinrich-Heine-Universität Düsseldorf
10108,Ludwig-Maximilians-Universität München (LMU)
10115,Friedrich-Alexander-Universität Erlangen-Nürnberg
10125,Technische Universität München (TUM)
10524,Konrad-Zuse-Zentrum für Informationstechnik Berlin (ZIB)
10525,Max-Planck-Institut für molekulare Pflanzenphysiologie (MPI-MP)
10526,Institut für Chemo- und Biosensorik (ICB)
10527,GIGA Leibniz-Institut für Globale und Regionale Studien
10528,Leibniz-Institut für Katalyse e. V. an der Universität Rostock (LIKAT)
10529,CUTEC Clausthaler Umwelttechnik Forschungszentrum
10530,"Fraunhofer-Institut für Nachrichtentechnik, Heinrich-Hertz-Institut (HHI)"
10531,IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik
10532,Europa-Universität Flensburg
10533,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth
10536,Theologische Hochschule Friedensau
10538,Hochschule für Musik Detmold
10539,Zoologisches Forschungsmuseum Alexander Koenig
10540,Philosophisch-Theologische Hochschule Vallendar
10542,Hochschule Mainz
10543,Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW)
10544,"Hochschule für Jüdische Studien (HfJS), Heidelberg"
10055,Albert-Ludwigs-Universität Freiburg
10353,Technische Universität Dresden
10547,Institut für Vogelforschung - Vogelwarte Helgoland (IfV)
10548,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (HTWK)"
10549,Max-Planck-Institut für Physik komplexer Systeme
10550,Max-Planck-Institut für Kolloid- und Grenzflächenforschung
10552,Institut für Weltwirtschaft an der Universität Kiel (IfW)
10556,Forschungsinstitut für Kinderernährung
10557,Fachhochschule Südwestfalen
10558,Max-Planck-Institut für Marine Mikrobiologie
10559,Institut für Mechatronik e.V.
10560,Medizinisches Laserzentrum Lübeck GmbH
10561,Max-Planck-Institut für terrestrische Mikrobiologie
10564,Katholische Hochschule Nordrhein-Westfalen
10565,Soziologisches Forschungsinstitut (SOFI)
10566,Germanisches Nationalmuseum (GNM)
10567,Wissenschaftskolleg zu Berlin e.V.
10568,Sigmund-Freud-Institut - Forschungsinstitut für Psychoanalyse und ihre Anwendung
10569,Leibniz-Institut für Europäische Geschichte (IEG)
10570,Kooperationsstelle EU der Wissenschaftsorganisationen (KOWI)
10572,Hochschule Anhalt
10574,Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft (HI)
10575,Hans-Bredow-Institut für Medienforschung an der Universität Hamburg
10576,Rautenstrauch-Joest-Museum - Museum für Völkerkunde
10577,Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen
10579,Max-Planck-Institut für Mikrostrukturphysik
10580,Westsächsische Hochschule Zwickau
10583,Bundesanstalt für Gewässerkunde (BfG)
10584,BIBA - Bremer Institut für Produktion und Logistik GmbH an der Universität Bremen
10150,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10587,Moses Mendelssohn Zentrum für europäisch-jüdische Studien e. V. an der Universität Potsdam
10317,Deutsches Zentrum für Luft- und Raumfahrt (DLR)
10590,Hochschule für Technik und Wirtschaft des Saarlandes
10591,ifak - Institut für Automation und Kommunikation e.V. Magdeburg
10592,Max-Planck-Institut für Infektionsbiologie
10593,Max-Planck-Institut für Kognitions- und Neurowissenschaften
10594,Max-Planck-Institut für Wissenschaftsgeschichte (MPIWG)
10595,Hochschule Bremen
10596,Max-Planck-Institut für molekulare Physiologie
10597,Universität Vechta
29880,Hochschule Koblenz
10601,Fraunhofer-Institut für Angewandte Polymerforschung (IAP)
10602,Forschungsinstitut für Rationalisierung (FIR) an der RWTH Aachen
10603,Max-Planck-Institut für Menschheitsgeschichte (MPI-SHH)
10604,Fraunhofer-Institut für Mikrotechnik und Mikrosysteme IMM
10606,Institut für Verbundwerkstoffe (IVW)
23691485,HELIOS Kliniken GmbH
10608,Akademie für Technikfolgenabschätzung Baden-Württemberg
10609,Hochschule Reutlingen
10610,Berlin-Brandenburgische Akademie der Wissenschaften
10121,Julius-Maximilians-Universität Würzburg
10613,Access e.V.
10614,Leibniz-Institut für Länderkunde (IfL)
10616,"Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg"
10617,"Bayerisches Staatsministerium für Bildung und Kultus, Wissenschaft und Kunst"
10619,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
10623,Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen
10624,"Ministerium für Wissenschaft, Weiterbildung und Kultur des Landes Rheinland-Pfalz"
10627,"Ministerium für Wissenschaft, Forschung und Kultur des Landes Brandenburg"
10353,Technische Universität Dresden
10634,Technische Hochschule Wildau
10635,Akademie der Künste
10637,Heinrich-Pette-Institut - Leibniz-Institut für Experimentelle Virologie (HPI)
10638,Hochschule Trier
10639,Fraunhofer-Institut für Angewandte Optik und Feinmechanik (IOF)
10640,"Hochschule Mittweida, University of Applied Sciences"
10641,Deutsches Herzzentrum München (DHM)
10642,Fachhochschule Lausitz
10572,Hochschule Anhalt
10644,Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF)
10645,Fraunhofer-Institut für Bauphysik (IBP)
10646,Fraunhofer-Institut für System- und Innovationsforschung (ISI)
10647,"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)"
10648,Fachhochschule Lübeck
10649,Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration (IZM)
10650,Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit (LBF)
10651,Fraunhofer-Institut für Schicht- und Oberflächentechnik IST
10652,Fraunhofer-Institut für Lasertechnik (ILT)
10653,Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS)
10654,Fraunhofer-Institut für Chemische Technologie (ICT)
10655,Fraunhofer-Institut für Werkstoffmechanik (IWM)
10656,Fraunhofer-Institut für Siliziumtechnologie (ISIT)
10653,Fraunhofer-Institut für Keramische Technologien und Systeme (IKTS)
10658,Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren (IZFP)
10659,Kirchliche Hochschule Wuppertal/Bethel
10660,Fraunhofer-Institut für Biomedizinische Technik (IBMT)
10187,Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM)
10662,Fraunhofer-Institut für Produktionstechnologie (IPT)
10663,Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil
10664,Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme (IMS)
10665,Institut für Nichtklassische Chemie e.V. (INC)
10666,Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB)
10668,Fraunhofer-Institut für Werkstoff- und Strahltechnik (IWS)
10669,Deutsches Orient-Institut (DOI)
10671,RWI - Leibniz-Institut für Wirtschaftsforschung e.V.
10672,Leibniz-Institut für Agrarentwicklung in Transformationsökonomien (IAMO)
10675,Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik (IPK)
10676,Fraunhofer-Institut für Graphische Datenverarbeitung (IGD)
10677,Fraunhofer-Institut für Materialfluss und Logistik (IML)
10679,Fraunhofer-Institut für Photonische Mikrosysteme (IPMS)
10680,Fraunhofer-Institut für Integrierte Schaltungen (IIS)
25119,Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie (IISB)
10683,Fraunhofer-Institut für Solare Energiesysteme (ISE)
10684,Fraunhofer-Institut für Physikalische Messtechnik (IPM)
10676,Fraunhofer-Institut für Graphische Datenverarbeitung (IGD)
30554,Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie (IME)
10689,Fraunhofer-Institut für Produktionstechnik und Automatisierung (IPA)
10694,Struktur- und Werkstoffmechanikforschung Dresden GmbH an der Technischen Universität Dresden (SWM)
10696,Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS)
10182,Universität Bremen
10272,Westfälische Wilhelms-Universität Münster
10293,Rheinisch-Westfälische Technische Hochschule Aachen
10700,DWI - Leibniz-Institut für Interaktive Materialien e.V.
10701,Georg-Eckert-Institut (GEI) Leibniz-Institut für Internationale Schulbuchforschung
10702,Institut für Sozialwissenschaftliche Forschung e.V. (ISF)
10704,Forschergruppe Diabetes e.V. am Helmholtz Zentrum München
10276,Ruhr-Universität Bochum
10706,Faserinstitut Bremen e.V. (FIBRE)
10707,Deutscher Wetterdienst (DWD)
10708,Deutsches Herzzentrum Berlin (DHZB)
10680,Fraunhofer-Institut für Integrierte Schaltungen (IIS)
10711,Max-Planck-Institut für Biogeochemie (MPI-BGC)
10712,Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg (ZSW)
10713,IHF Institut für Hormon- und Fortpflanzungsforschung GmbH
10714,"Zentrum für Flachmeer-, Küsten- und Meeresumweltforschung e.V. (Forschungszentrum TERRAMARE)"
10715,"Forschungsinstitut für Arbeit, Technik und Kultur e.V. (FATK)"
10717,"EBS Universität für Wirtschaft und Recht, Wiesbaden"
10718,Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH
10719,Europäisches Centrum für Mechatronik (aps)
10720,Max-Planck-Institut für Chemische Ökologie
10282,Universität zu Köln
10722,Forschungsstelle für internationale Agrar- u. Wirtschaftsentwicklung e.V.
10725,Max-Planck-Institut für Gravitationsphysik (Albert-Einstein-Institut)
10150,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt
