project_id_number,institution_id,relation_type
5080300,10108,APPLYING
5080306,10125,APPLYING
5080528,10051,APPLYING
5080780,10053,APPLYING
5080992,10051,APPLYING
5081294,10284,APPLYING
5081298,10284,APPLYING
5081310,10284,APPLYING
5081316,10284,APPLYING
5081322,10284,APPLYING
5081328,10284,APPLYING
5081548,10061,APPLYING
5081560,10061,APPLYING
5081566,10061,APPLYING
5081572,10061,APPLYING
5081578,10280,APPLYING
5081590,10280,APPLYING
5081596,10280,APPLYING
5081602,10280,APPLYING
5081608,10280,APPLYING
5081614,10280,APPLYING
5081620,10280,APPLYING
5081626,10280,APPLYING
5081632,10280,APPLYING
5081638,10280,APPLYING
5081644,10280,APPLYING
5081650,10280,APPLYING
5081656,10280,APPLYING
5081662,10280,APPLYING
5081666,10280,APPLYING
5081925,10051,APPLYING
5082120,10051,APPLYING
5082934,10061,APPLYING
5082940,10061,APPLYING
5082946,10061,APPLYING
5082958,10061,APPLYING
5082968,10061,APPLYING
5082974,10061,APPLYING
5082980,10061,APPLYING
5082986,10061,APPLYING
5083014,10061,APPLYING
5083020,10061,APPLYING
5083025,10061,APPLYING
5083045,10061,APPLYING
5083066,10061,APPLYING
5083073,10061,APPLYING
5083502,10247,APPLYING
5083507,10247,APPLYING
5083518,10247,APPLYING
5083524,10247,APPLYING
5083712,10051,APPLYING
5083726,10051,APPLYING
5083740,10325,APPLYING
5083746,10325,APPLYING
5083762,10325,APPLYING
5083773,10325,APPLYING
5083814,10284,APPLYING
5083828,10284,APPLYING
5083884,10284,APPLYING
5083896,10284,APPLYING
5083910,10284,APPLYING
5083916,10284,APPLYING
5084064,10165,APPLYING
5084084,10165,APPLYING
5084102,10059,APPLYING
5084378,10236,APPLYING
5084455,10236,APPLYING
5084472,10355,APPLYING
5084504,10355,APPLYING
5084522,10355,APPLYING
5084534,10355,APPLYING
5084540,10335,APPLYING
5084546,10335,APPLYING
5084552,10335,APPLYING
5084558,10335,APPLYING
5084738,10238,APPLYING
5085334,10059,APPLYING
5085392,10047,APPLYING
5085404,10047,APPLYING
5085444,10047,APPLYING
5085480,10284,APPLYING
5085486,10284,APPLYING
5085492,10284,APPLYING
5085498,10284,APPLYING
5086936,10125,APPLYING
5086942,10125,APPLYING
5087078,10233,APPLYING
5089148,10059,APPLYING
5089160,10059,APPLYING
5089172,10059,APPLYING
5089178,10059,APPLYING
5089396,10059,APPLYING
5089410,10059,APPLYING
5089422,10059,APPLYING
5089440,10059,APPLYING
5089444,10059,APPLYING
5089498,10059,APPLYING
5089504,10059,APPLYING
5089516,10059,APPLYING
5089528,10059,APPLYING
5089540,10059,APPLYING
5089566,10059,APPLYING
5089590,10059,APPLYING
5089662,10047,APPLYING
5089668,10047,APPLYING
5089674,10047,APPLYING
5089734,10047,APPLYING
5089750,10047,APPLYING
5089784,10047,APPLYING
5089804,10051,APPLYING
5089816,10047,APPLYING
5089828,10047,APPLYING
5089840,10047,APPLYING
5089870,10047,APPLYING
5089874,10047,APPLYING
5090000,10115,APPLYING
5090058,10115,APPLYING
5090253,10115,APPLYING
5090290,10115,APPLYING
5090302,10115,APPLYING
5090308,10115,APPLYING
5090313,10115,APPLYING
5090318,10115,APPLYING
5090494,10115,APPLYING
5090514,10115,APPLYING
5090538,10115,APPLYING
5090562,10115,APPLYING
5090622,10115,APPLYING
5091466,10357,APPLYING
5091496,10108,APPLYING
5091993,10247,APPLYING
5092080,10359,APPLYING
5092086,10359,APPLYING
5092092,10357,APPLYING
5092098,10357,APPLYING
5092282,10359,APPLYING
5092288,10359,APPLYING
5092300,10359,APPLYING
5092312,10359,APPLYING
5092346,10359,APPLYING
5092582,10365,APPLYING
5092612,10365,APPLYING
5092652,10365,APPLYING
5092762,10365,APPLYING
5092773,10365,APPLYING
5092816,10365,APPLYING
5093052,10365,APPLYING
5093462,10236,APPLYING
5093466,10236,APPLYING
5093472,10236,APPLYING
5093616,10236,APPLYING
5093790,10055,APPLYING
5093926,10055,APPLYING
5093932,10055,APPLYING
5093938,10055,APPLYING
5093944,10055,APPLYING
5093948,10055,APPLYING
5093954,10055,APPLYING
5093960,10055,APPLYING
5094248,10192,APPLYING
5094254,10192,APPLYING
5094266,10192,APPLYING
5094272,10192,APPLYING
5094278,10192,APPLYING
5094284,10192,APPLYING
5094290,10192,APPLYING
5094302,10192,APPLYING
5094334,10192,APPLYING
5094346,10192,APPLYING
5094364,10192,APPLYING
5094538,10499,APPLYING
5094544,10108,APPLYING
5094812,10365,APPLYING
5094818,10167,APPLYING
5094824,10167,APPLYING
5094830,10167,APPLYING
5094836,10167,APPLYING
5094842,10167,APPLYING
5094848,10167,APPLYING
5094854,10167,APPLYING
5094859,10365,APPLYING
5094865,10365,APPLYING
5094872,10167,APPLYING
5094884,10167,APPLYING
5094888,10365,APPLYING
5094894,10167,APPLYING
5094906,10167,APPLYING
5094912,10365,APPLYING
5098828,10321,APPLYING
5099614,10053,APPLYING
5100880,10125,APPLYING
5100892,10125,APPLYING
5100916,10125,APPLYING
5101261,10108,APPLYING
5101336,10125,APPLYING
5101342,10108,APPLYING
5101352,10108,APPLYING
5101358,10125,APPLYING
5101364,10115,APPLYING
5101452,10115,APPLYING
5101466,10121,APPLYING
5101502,10121,APPLYING
5101544,10121,APPLYING
5101570,10115,APPLYING
5101609,10108,APPLYING
5101724,10270,APPLYING
5101730,10270,APPLYING
5101736,10270,APPLYING
5102254,10055,APPLYING
5102260,10055,APPLYING
5102273,10055,APPLYING
5102406,10055,APPLYING
5102412,10055,APPLYING
5102418,10055,APPLYING
5102422,10055,APPLYING
5102838,10167,APPLYING
5102844,10167,APPLYING
5102858,10204,APPLYING
5102864,10204,APPLYING
5102870,10204,APPLYING
5102876,10204,APPLYING
5102882,10208,APPLYING
5102888,10204,APPLYING
5102894,10204,APPLYING
5102906,10204,APPLYING
5103752,10167,APPLYING
5103758,10167,APPLYING
5103764,10167,APPLYING
5103770,10167,APPLYING
5103776,10167,APPLYING
5103784,10167,APPLYING
5103790,10167,APPLYING
5103796,10167,APPLYING
5103802,10167,APPLYING
5103808,10167,APPLYING
5103814,10167,APPLYING
5103842,10167,APPLYING
5103847,10167,APPLYING
5103852,10167,APPLYING
5103871,10167,APPLYING
5103896,10167,APPLYING
5104034,10266,APPLYING
5104046,10353,APPLYING
5104182,10335,APPLYING
5104188,10335,APPLYING
5105350,10355,APPLYING
5109280,10108,APPLYING
5109292,10125,APPLYING
5110822,10047,APPLYING
5110828,10047,APPLYING
5112098,10278,APPLYING
5113778,10365,APPLYING
5113790,10365,APPLYING
5113808,10365,APPLYING
5113834,10365,APPLYING
5113854,10365,APPLYING
5113860,10365,APPLYING
5113872,10365,APPLYING
5113876,10365,APPLYING
5113888,10365,APPLYING
5113894,10365,APPLYING
5113950,10365,APPLYING
5113956,10365,APPLYING
5113962,10365,APPLYING
5114098,10165,APPLYING
5114104,10165,APPLYING
5114110,10165,APPLYING
5114116,10165,APPLYING
5114158,10165,APPLYING
5114171,10165,APPLYING
5114178,10165,APPLYING
5114184,10165,APPLYING
5114190,10165,APPLYING
5114196,10165,APPLYING
5114202,10165,APPLYING
5114208,10165,APPLYING
5114214,10165,APPLYING
5114226,10165,APPLYING
5114234,10165,APPLYING
5114328,10321,APPLYING
5114346,10321,APPLYING
5114358,10321,APPLYING
5114372,10321,APPLYING
5114378,10321,APPLYING
5114396,10321,APPLYING
5114402,10321,APPLYING
5114408,10321,APPLYING
5114420,10335,APPLYING
5114426,10321,APPLYING
5114432,10321,APPLYING
5114438,10321,APPLYING
5114456,10321,APPLYING
