project_id,country
5237652,USA
5237748,Kirgisistan
5237748,Russische Föderation
5237748,Tschechische Republik
5237766,USA
5237778,USA
5237796,USA
5237802,USA
5237828,USA
5237928,Russische Föderation
5237940,Österreich
5237960,USA
5237977,Schweiz
5238270,China
5238340,USA
5238382,USA
5238388,Tschechische Republik
5238412,USA
5238456,USA
5238512,USA
5238524,Kanada
5238606,USA
5238658,Italien
5238686,USA
5238770,Kanada
5238866,USA
5238884,Frankreich
5238884,Großbritannien
5238896,Indien
5238974,USA
5239096,Großbritannien
5239331,Schweden
5239372,USA
5239414,Großbritannien
5239432,USA
5239492,USA
5239632,USA
5239676,USA
5239756,USA
5239786,Großbritannien
5239874,USA
5240106,Israel
5240156,Costa Rica
5240156,Panama
5240156,USA
5240442,USA
5240756,Großbritannien
5240888,USA
5240942,USA
5241032,USA
5241067,Japan
5241202,USA
5241300,USA
5241422,USA
5241592,USA
5241700,Schweiz
5241718,USA
5241724,Österreich
5242126,Ungarn
5242298,Frankreich
5242298,Spanien
5242298,USA
5242309,Australien
5242414,Frankreich
5242512,USA
5242712,USA
5242844,Großbritannien
5242850,USA
5242906,Kanada
5242926,Spanien
5242955,Russische Föderation
5243182,USA
5243455,Kanada
5243620,USA
5243876,Australien
5243890,USA
5243902,Spanien
5244058,USA
5244204,USA
5244218,USA
5244374,Polen
5244374,Tschechische Republik
5244436,Schweiz
5244734,Australien
5245026,Großbritannien
5245254,USA
5245266,USA
5245328,Österreich
5245448,Lettland
5245680,Russische Föderation
5245738,USA
5246348,Russische Föderation
5246432,USA
5246696,Spanien
5246744,USA
5246818,Russische Föderation
5246868,Thailand
5247012,USA
5247186,Polen
5247378,Niederlande
5247390,USA
5247416,Niederlande
5247502,USA
5247590,USA
5247606,Türkei
5247636,Großbritannien
5247744,Großbritannien
5247768,USA
5247814,USA
5248062,Russische Föderation
5248120,Japan
5248132,Griechenland
5248428,USA
5248454,USA
5248520,USA
5248658,Japan
5248674,USA
5248730,Süd-Korea
5248750,Frankreich
5248920,Russische Föderation
5249038,Neuseeland
5249162,Indonesien
5249184,Italien
5249422,USA
5249436,USA
5249532,USA
5249557,USA
5249606,USA
5249638,Österreich
5250074,USA
5250288,USA
5250348,USA
5250412,USA
5250594,USA
5250600,Kanada
5250800,Österreich
5250800,USA
5250888,USA
5251218,USA
5251266,USA
5251290,USA
5251680,USA
5251696,USA
5251936,USA
5252144,Russische Föderation
5252466,USA
5252530,USA
5252542,USA
5252566,USA
5252596,USA
5252604,Italien
5252604,Spanien
5252604,Tunesien
5252688,USA
5252822,USA
5252876,USA
5252898,USA
5252952,USA
5253308,USA
5253326,USA
5253380,Indonesien
5253486,Russische Föderation
5253816,Mexiko
5253849,Italien
5253942,Schweiz
5254198,Japan
5254438,Frankreich
5254644,USA
5254736,USA
5254748,USA
5254760,Großbritannien
5254813,Schweiz
5255370,USA
5255594,Kanada
5255710,USA
5255844,USA
5256006,USA
5256104,Frankreich
5256234,USA
5256280,Malaysia
5256392,USA
5256500,Taiwan
5256614,USA
5256628,USA
5256666,USA
5256696,USA
5256708,USA
5256844,Großbritannien
5256900,Peru
5256962,USA
5257046,China
5257204,Finnland
5257406,USA
5257612,Österreich
5257798,USA
5257848,USA
5258002,Niederlande
5258074,USA
5258112,Brasilien
5258616,Namibia
5258648,Tschechische Republik
5258659,USA
5258762,USA
5259270,USA
5259286,Bulgarien
5259288,USA
5259320,USA
5259530,USA
5259535,Australien
5259670,Niederlande
5259718,USA
5259876,Dänemark
5260058,USA
5260104,Kanada
5260390,USA
5260584,Niederlande
5260630,Mongolei
5260640,Venezuela
5260686,USA
5260692,Kanada
5260744,Frankreich
5260744,Niederlande
5260744,Schweiz
5260808,Ägypten
5260866,Russische Föderation
5261016,Schweiz
5261037,USA
5261112,Großbritannien
5261112,Niederlande
5261166,Großbritannien
5261338,USA
5261518,Frankreich
5261594,Japan
5261984,USA
5262044,Italien
5262132,Israel
5262266,USA
5262386,USA
5262432,USA
5262496,USA
5262694,USA
5262884,USA
5262898,USA
5262922,Russische Föderation
5263026,Großbritannien
5263038,Indien
5263322,USA
5263596,USA
5263942,USA
5263983,Frankreich
5264046,USA
5264106,USA
5264184,USA
5264428,Dänemark
5264440,Israel
5264562,Israel
5264612,Australien
5264624,USA
5264776,Irland
5264796,USA
5264888,Spanien
5264954,Großbritannien
5265018,Australien
5265114,USA
5265190,Frankreich
5265302,Österreich
5265414,USA
5265416,Norwegen
5265444,Tansania
5265580,Schweden
5265612,USA
5265636,USA
5265784,Niederlande
5265830,Kanada
5265904,Australien
5266020,USA
5266136,USA
5266154,USA
5266204,Indonesien
5266344,Indien
5266350,Frankreich
5266350,Österreich
5266462,USA
5266508,USA
5266540,Tunesien
5266542,USA
5266767,USA
5266897,USA
5266926,Japan
5267164,Syrien
5267312,Frankreich
5267366,USA
5267396,USA
5267456,USA
5267469,USA
5267646,Malaysia
5267686,USA
5267698,USA
5267730,USA
5267848,USA
5267866,Frankreich
5267884,Schweiz
5267899,China
5267912,USA
5268128,Kanada
5268140,USA
5268170,USA
5268244,USA
5268336,USA
5268648,Frankreich
5268918,Frankreich
5269162,Großbritannien
5269282,Australien
5269306,Schweiz
5269452,USA
5269458,Frankreich
5269482,Frankreich
5269484,Costa Rica
5269512,Frankreich
5269547,Frankreich
5269582,Großbritannien
5269589,USA
5269619,Frankreich
5269628,Niederlande
5269686,Syrien
5269706,Frankreich
5269758,Frankreich
5269862,Frankreich
5269902,Schweiz
5269914,USA
