project_id,subject_area
455518,Mikroelektronik
455518,Systemtheorie
455518,Materialien der Mikrosystemtechnik
455518,Betriebssysteme
455518,Elektrische Mess- und Prüfverfahren
455518,Rechnerarchitektur
455518,Paralleles und verteiltes Rechnen
455540,Entwicklungsgenetik
455540,Biochemie
455540,Zellbiologie
455540,Molekulare Genetik
455540,Bioinformatik
455540,Molekulare Humangenetik
455540,Molekulare Medizin
455540,Entwicklungsbiologie
455540,Systembiologie
455540,Molekularbiologie
462057,Umweltphysik
462057,Verfahrenstechnik
462057,Maschinenbau
462057,Strömungslehre
462057,Physik
462057,Chemie
462057,Thermodynamik
462057,Halbleiter-Optik
462057,Biologie
462057,Laser- und Quantenoptik
462057,Angewandte Physik
462057,Experimentelle Licht- und Teilchenoptik
462190,Bakteriologie
462190,Infektionsbiologie
462190,Immunologie
462190,Virologie
462190,Parasitologie
462239,Elektrophysiologie
462239,Neurologie
462239,Biochemie
462239,Neurophysiologie
462239,Zellbiologie
462239,Molekulare Neurobiologie
462239,Neuroanatomie
462239,Theoretische Biologie
462565,Weichteilchirurgie
462565,Radiologie
462565,Roboterassistierte Chirurgie
462565,Visualisierung
462565,Datenmanagement
462565,Medizinische Informatik
462565,Anästhesie
462565,Medizintechnik
462565,Telemanipulation
462565,Minimal-invasive Chirurgie
462565,Informatik
462565,Psychologie
771881,Mustererkennung
771881,Bauingenieurwesen
771881,Visualisierung
771881,Computergrafik
771881,Stadtplanung
771881,Mechanik
772176,Mathematik
772176,Mathematische Physik
772176,Stochastische Partielle Differentialgleichungen
772176,Stochastische Differentialgleichungen
772176,Econophysics
772176,Dirichletformen
772176,Stochastische Analysis
772176,Mikroökonomie
772176,Wirtschaftswissenschaften
772176,Stochastik
772176,Physik
776961,Darstellungstheorie
776961,Symplektische Geometrie
776961,Nichtkommutative Geometrie
776961,Mikrolokale Analysis
776961,Mathematische Physik
776961,Homologische Algebra
776961,Harmonischen Analysis
776961,Funktionalanalysis
777777,Spieltheorie
777777,Entscheidungstheorie
777777,Stochastische Modelle
777777,Allgemeine Gleichgewichtstheorie
777777,Finanzmarkttheorie
